ID;Comment_date;Comment;Gender;Rate;Category
1;2025-05-14;Были в баре с другом. Заказали два коктейля, суп, картошку. Заплатили. Все как бы ок. С собой было два кусочка пиццы (остались после обеда на работе), которые мы решили тоже съесть. Бармен на это отреагировал крайне негативно. Стал нас отчитывать, что мы не имеем права в бар приходить со своей едой (серьезно? кусок пиццы это прям еда?). Сказал, чтоб больше в данное заведение не приходили. Ну как бы ок! В Москве так-то это не один бар, не думаю, что мы много потеряем. В общем не советую данное место (еду мы кстати ждали минут 30 при практически пустом баре).;ж;1;Напитки
2;2023-11-28;То ли дело в сезоне (зима), то ли в дне недели (вторник). Бар пустой, хотя по выходным наверняка битком, так как маленький. Персонал встретил тревожным взглядом, по меню ничего не предложили. Выбор пива очень скучный, но, видимо, фишка заведения в крепких напитках. Сырный суп восторга не вызвал - просто суп... Нет ни одной розетки, чтобы зарядить телефон. Подключить к розетке за баром даже не предложили, хотя в баре, повторюсь, кроме меня никого не было.;м;3;Напитки
3;2024-01-23;Базовая базовая коктельная/ рюмочная. Наливают. В напитках не особо разбираются, один бармен при мне спрашивал у другого как и из чего готовить один из коктейлей имеющихся в меню. Ничего такого, конечно, но все же. Цены обычные для центра Москвы. Место маловато, тесновато. Скорее накидочная для студентов, чем прям какое-то модное или культовое место. Нормально, но не более того.;Не известно;3;Напитки
4;2025-03-23;Персонал не расторопный, напитки , как напитки, атмосфера как плацкарте, неудовлетворен обслуживанием.;м;1;Напитки
5;2025-05-27;Были тут под утро. Агрессивная публика, коктейли плохого качества. Странноватое место;м;3;Напитки
6;2025-03-10;Ужасное место. Очень тесно. Алкоголь палёный. Охранник хамит посетителям и провоцирует конфликты.;м;1;Напитки
7;2022-06-17;…но этого там нет от слава совсем. Пиво светлое вообще ужас, такое ощущение, что вот совсем совсем дишманское, (думаю что в закупке рублей по 50 за литр). Зал, а точнее коридор узкий и длинный…;м;3;Напитки
8;2021-11-29;Хорошее заведение если хотите чтобы вас нагло обманули. Цены низкие, кухня не плохая, но объём напитков оставляет желать лучшего. За заявленный объём пива в 0,5 вам не нальют даже 0.4.…;ж;2;Напитки
9;2023-10-28;…А стоит все естественно не дёшево. Бармен не понимает, что 10 напитков ему надо самому донести до столика, а не предлагать поднос клиенту. Обходите это место стороной…;м;1;Напитки
10;2023-01-30;Цены не кусаются Тесновато Коктейли нормальные а пиво не очень Отличная музыка Не работает кухня после 23:00 это не минус просто сообщаю хоть у них это везде указано);м;3;Напитки
